tick,x,turbo,switch,a,v,dir,rad,piece_no,schedule_time,initial_schedule_safe,nodes_visited,leafs_visited,unsafe_cuts,ub_cuts,solution_improvements,schedule,predicted_angles,0_throttle_predictions
845,1,1,1,60,7.3,0,0,35,1.5,1,16,1,0,4,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 0 0 0 0 0 0 0 0 0 0 0 0 ,59 59 57 55 53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -11 -11 -9.9 -9 -7.9 -6.8 -5.7 -4.5 -3.4 -2.4 -1.4 -0.46 0.38 1.1 1.8 ,59 59 57 56 54 51 49 46 44 41 38 36 33 30 28 25 23 20 18 16 14 12 10 8.5 7 5.6 4.3 3.1 2 0.96 0.062 -0.75 -1.5 -2.1 -2.7 -3.2 -3.6 -4 -4.3 -4.6 -4.8 -5 -5.2 -5.3 -5.4 
846,1,1,1,59,7.8,0,0,35,1.5,1,16,1,0,4,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 ,59 57 55 53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -11 -11 -9.9 -9 -7.9 -6.8 -5.7 -4.5 -3.4 -2.4 -1.4 -0.46 0.38 1.1 1.8 2.3 ,59 57 55 53 51 48 46 43 40 37 34 31 28 25 23 20 18 15 13 11 9.3 7.5 5.8 4.3 2.9 1.6 0.45 -0.6 -1.5 -2.4 -3.1 -3.8 -4.3 -4.8 -5.2 -5.6 -5.9 -6.1 -6.3 -6.4 -6.5 -6.6 -6.6 -6.6 -6.6 
847,1,1,1,59,8.2,0,0,35,1.4,1,16,1,0,4,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,57 55 53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -11 -11 -9.9 -9 -7.9 -6.8 -5.7 -4.5 -3.4 -2.4 -1.4 -0.46 0.38 1.1 1.8 2.3 2.8 ,57 55 53 50 48 45 42 39 36 33 30 27 24 21 18 16 13 11 8.9 6.9 5.1 3.4 1.9 0.52 -0.72 -1.8 -2.8 -3.7 -4.5 -5.1 -5.7 -6.2 -6.6 -6.9 -7.2 -7.4 -7.5 -7.6 -7.7 -7.7 -7.6 -7.6 -7.5 -7.4 -7.3 
848,1,1,1,57,8.7,0,0,35,2.3,1,62,25,0,4,25,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.9 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.1 0 0 ,55 53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -13 -12 -12 -12 -11 -10 -9.1 -8.1 -7.1 -6 -4.9 -3.8 -2.8 -1.8 -0.94 -0.11 0.65 1.3 1.9 2.4 ,55 53 50 47 44 41 38 35 31 28 25 22 19 16 14 11 8.9 6.8 4.8 3 1.3 -0.21 -1.6 -2.8 -3.8 -4.8 -5.6 -6.3 -6.9 -7.4 -7.8 -8.1 -8.3 -8.5 -8.6 -8.6 -8.6 -8.6 -8.5 -8.4 -8.3 -8.1 -7.9 -7.7 -7.5 
849,1,1,1,55,9.1,0,0,35,1.2,1,16,1,0,4,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1 1 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -11 -11 -10 -9.1 -8 -6.9 -5.8 -4.7 -3.6 -2.5 -1.5 -0.56 0.29 1 1.7 2.3 2.7 3.1 3.4 ,53 50 47 44 41 37 34 31 27 24 21 18 15 12 9.5 7.2 5 2.9 1.1 -0.56 -2.1 -3.4 -4.6 -5.6 -6.5 -7.2 -7.8 -8.4 -8.8 -9.1 -9.3 -9.5 -9.5 -9.5 -9.5 -9.4 -9.3 -9.1 -8.9 -8.7 -8.4 -8.2 -7.9 -7.6 -7.3 
850,1,1,1,53,9.5,0,0,35,1.4,1,79,30,0,9,30,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.3 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -12 -11 -10 -9.2 -8.1 -7 -5.9 -4.7 -3.6 -2.6 -1.6 -0.62 0.24 1 1.7 2.3 2.7 3.1 3.4 3.6 ,50 47 44 40 37 33 30 26 23 20 16 13 11 8.1 5.6 3.4 1.3 -0.53 -2.2 -3.7 -5 -6.1 -7.1 -7.9 -8.6 -9.1 -9.6 -9.9 -10 -10 -10 -10 -10 -10 -10 -9.7 -9.5 -9.2 -8.9 -8.6 -8.3 -7.9 -7.6 -7.2 -6.9 
851,1,1,1,50,9.9,0,0,35,1.3,1,80,31,0,8,31,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 ,47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -12 -11 -10 -9.2 -8.2 -7.1 -6 -4.8 -3.7 -2.7 -1.6 -0.7 0.16 0.93 1.6 2.2 2.7 3.1 3.4 3.6 3.8 ,47 44 40 37 33 29 26 22 19 15 12 9.5 6.8 4.3 2 -0.066 -1.9 -3.6 -5.1 -6.3 -7.4 -8.4 -9.1 -9.8 -10 -11 -11 -11 -11 -11 -11 -11 -11 -10 -10 -9.7 -9.3 -9 -8.6 -8.2 -7.8 -7.4 -7 -6.6 -6.2 
852,1,1,1,47,10,0,0,35,1.9,1,88,34,0,10,34,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.7 0 1 1 1 1 1 1 1 1 1 1 1 1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -12 -11 -10 -9.3 -8.3 -7.2 -6.1 -4.9 -3.8 -2.8 -1.7 -0.79 0.074 0.85 1.5 2.1 2.6 3 3.3 3.6 3.7 3.8 ,44 40 36 33 29 25 22 18 15 11 8.5 5.7 3.2 0.85 -1.3 -3.1 -4.8 -6.2 -7.5 -8.6 -9.4 -10 -11 -11 -11 -12 -12 -12 -12 -11 -11 -11 -10 -10 -9.7 -9.3 -8.9 -8.4 -8 -7.5 -7.1 -6.6 -6.2 -5.8 -5.4 
853,1,1,1,44,11,0,0,35,1.5,1,90,36,0,8,36,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.4 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -12 -11 -10 -9.3 -8.3 -7.2 -6.1 -5 -3.9 -2.8 -1.8 -0.88 -0.012 0.77 1.5 2.1 2.6 3 3.3 3.5 3.7 3.8 3.8 ,40 36 32 29 25 21 17 14 11 7.7 4.8 2.2 -0.13 -2.3 -4.1 -5.8 -7.2 -8.5 -9.5 -10 -11 -12 -12 -12 -12 -12 -12 -12 -12 -11 -11 -11 -10 -9.6 -9.2 -8.7 -8.2 -7.7 -7.2 -6.7 -6.2 -5.7 -5.3 -4.8 -4.4 
854,1,1,1,40,11,0,0,35,1.5,1,96,38,0,11,38,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.6 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0.2 0 0 0 1 1 1 1 0 0 0 0 0 0 0 ,36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -12 -11 -11 -9.7 -8.7 -7.7 -6.7 -5.6 -4.5 -3.5 -2.5 -1.5 -0.63 0.17 0.89 1.5 2.1 2.5 2.9 3.2 3.4 3.5 3.6 3.6 ,36 32 28 25 21 17 13 10 7 4.1 1.5 -0.93 -3.1 -5 -6.6 -8.1 -9.3 -10 -11 -12 -12 -12 -13 -13 -13 -12 -12 -12 -11 -11 -10 -10 -9.5 -8.9 -8.4 -7.8 -7.3 -6.7 -6.2 -5.7 -5.2 -4.7 -4.3 -3.8 -3.4 
